index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Age,68.0 (55.0-79.0),0.0%,73.0 (67.0-79.0),0.0%,65.5 (53.0-79.0),0.0%,0.00015060681582134517
Oxygen Saturation (\%),93.0 (89.0-95.0),0.0%,91.0 (84.0-94.0),0.0%,93.0 (90.0-95.0),0.0%,0.0008561641352747903
Heart Rate (bpm),100.0 (89.0-112.0),0.43%,104.0 (88.0-119.0),0.0%,99.0 (89.0-110.0),0.55%,0.055181788513189264
Alanine Aminotransferase (U/L),25.0 (16.0-42.25),11.69%,23.5 (15.0-36.75),2.04%,25.0 (16.0-43.0),14.29%,0.6300270723817856
Blood Creatinine (mg/dL),1.0 (0.8-1.5),3.03%,1.1 (0.9-1.8),0.0%,0.9 (0.8-1.4),3.85%,0.2511435063923764
Sodium (mmol/L),136.0 (134.0-140.0),3.46%,136.0 (134.0-142.0),0.0%,136.0 (134.0-140.0),4.4%,0.17549087948558095
Blood Urea Nitrogen (mg/dL),19.0 (12.0-32.0),3.03%,28.0 (19.0-49.0),0.0%,18.0 (11.0-28.5),3.85%,0.01417640277301595
Temperature (F),100.0 (98.6-101.5),0.0%,100.2 (98.6-102.1),0.0%,100.0 (98.7-101.4),0.0%,0.8980528862706134
C-Reactive Protein (mg/L),77.55 (30.6-124.67),46.32%,83.9 (51.35-165.85),44.9%,69.8 (26.4-118.9),46.7%,0.05485247885271619
Hemoglobin (g/dL),12.6 (11.0-13.9),1.73%,12.1 (10.5-13.1),0.0%,12.7 (11.2-14.0),2.2%,0.04956272906725577
White Blood Cells (1000/muL),6.5 (4.8-8.7),1.73%,6.8 (4.7-9.5),0.0%,6.4 (4.8-8.65),2.2%,0.2829951042862508
Mean Corpuscular Volume (fL),90.0 (86.0-94.0),1.73%,91.0 (88.0-96.0),0.0%,90.0 (86.0-94.0),2.2%,0.28550517665765923
Aspartate Aminotransferase (U/L),34.0 (23.0-52.25),13.42%,40.0 (29.5-68.0),4.08%,33.0 (22.0-52.0),15.93%,0.15310189680635597
Platelets (1000/muL),202.5 (152.0-250.0),2.16%,194.0 (165.5-240.5),2.04%,203.5 (148.25-250.75),2.2%,0.993098839587621
Blood Glucose (mg/dL),122.5 (102.0-168.5),2.16%,146.0 (113.0-210.0),0.0%,119.0 (101.0-154.0),2.75%,0.037496541488154
Potassium,4.0 (3.7-4.4),5.63%,4.25 (3.88-4.6),2.04%,3.9 (3.6-4.38),6.59%,0.002470465584515817
Prothrombin Time (INR),1.15 (1.08-1.4),67.1%,1.1 (1.1-1.48),38.78%,1.2 (1.02-1.37),74.73%,0.9098109102141371
Gender (M/F),112.0 (48.48%),0.0%,22.0 (44.9%),0.0%,90.0 (49.45%),0.0%,0.5749905486953495
Cardiac dysrhythmias,1.0 (0.43%),0.0%,0.0 (0.0%),0.0%,1.0 (0.55%),0.0%,0.31864551451196005
Chronic kidney disease,7.0 (3.03%),0.0%,0.0 (0.0%),0.0%,7.0 (3.85%),0.0%,0.0077973810400114515
Coronary atherosclerosis and other heart disease,0.0 (0.0%),0.0%,0.0 (0.0%),0.0%,0.0 (0.0%),0.0%,
Diabetes,39.0 (16.88%),0.0%,10.0 (20.41%),0.0%,29.0 (15.93%),0.0%,0.4882880860560769
Patient Count,231,,49,,182,,
Filter,All,,Non-Survivors,,Survivors,,
