index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Age,66.0 (50.0-79.0),0.0%,71.0 (56.0-82.0),0.0%,53.0 (34.5-67.5),0.0%,2.227684310714287e-22
Oxygen Saturation (\%),94.0 (91.0-96.0),0.37%,93.0 (90.0-95.0),0.18%,96.0 (94.0-98.0),0.77%,6.452037986263611e-13
Heart Rate (bpm),98.0 (86.0-111.0),0.37%,99.0 (87.25-112.0),0.36%,94.0 (82.25-110.0),0.39%,0.006892189517495732
Alanine Aminotransferase (U/L),25.0 (16.0-41.0),22.44%,24.0 (16.0-41.0),12.32%,25.0 (16.0-42.0),44.02%,0.9931406854023127
Blood Creatinine (mg/dL),1.0 (0.8-1.4),12.95%,1.0 (0.8-1.5),3.8%,0.9 (0.7-1.2),32.43%,0.6514869983488705
Sodium (mmol/L),137.0 (134.0-140.0),13.19%,137.0 (134.0-140.0),4.17%,137.0 (135.0-140.0),32.43%,0.628103458764037
Blood Urea Nitrogen (mg/dL),18.0 (12.0-30.0),13.07%,20.0 (12.25-32.0),3.99%,14.0 (10.0-20.0),32.43%,9.833258770954244e-08
Temperature (F),99.7 (98.6-101.05),0.49%,100.0 (98.6-101.4),0.18%,99.1 (98.3-100.3),1.16%,8.298870644460608e-08
C-Reactive Protein (mg/L),66.4 (27.3-123.2),54.25%,69.7 (33.5-127.6),40.04%,17.9 (13.6-85.82),84.56%,0.011947824994277436
Hemoglobin (g/dL),12.5 (11.1-13.9),11.96%,12.3 (10.9-13.8),2.72%,12.9 (11.6-14.0),31.66%,0.004642861442654799
White Blood Cells (1000/muL),6.4 (4.7-9.1),12.08%,6.7 (4.9-9.33),2.9%,5.7 (4.5-7.8),31.66%,0.00035195434941398833
Mean Corpuscular Volume (fL),90.0 (86.0-94.0),12.08%,90.0 (86.0-95.0),2.9%,89.0 (86.0-93.0),31.66%,0.3108509512025597
Aspartate Aminotransferase (U/L),35.0 (25.0-53.0),22.44%,37.0 (26.0-56.0),12.5%,30.0 (23.25-47.5),43.63%,0.06679347416884547
Platelets (1000/muL),199.0 (149.0-254.5),12.33%,194.0 (144.0-249.5),3.26%,210.0 (170.0-275.0),31.66%,0.026389799118632647
Blood Glucose (mg/dL),121.0 (104.0-159.0),12.45%,124.0 (104.0-166.0),3.26%,114.0 (104.0-142.0),32.05%,0.011710894445537868
Potassium,4.0 (3.7-4.4),13.93%,4.1 (3.7-4.5),5.25%,4.0 (3.6-4.3),32.43%,0.06814355064808696
Prothrombin Time (INR),1.2 (1.1-1.4),67.32%,1.2 (1.1-1.4),59.24%,1.2 (1.1-1.3),84.56%,0.9285721942624731
Gender (M/F),428.0 (52.77%),0.0%,288.0 (52.17%),0.0%,140.0 (54.05%),0.0%,0.6174807200916348
Cardiac dysrhythmias,6.0 (0.74%),0.0%,1.0 (0.18%),0.0%,5.0 (1.93%),0.0%,0.04668597514360308
Chronic kidney disease,26.0 (3.21%),0.0%,17.0 (3.08%),0.0%,9.0 (3.47%),0.0%,0.7710246111314897
Coronary atherosclerosis and other heart disease,0.0 (0.0%),0.0%,0.0 (0.0%),0.0%,0.0 (0.0%),0.0%,
Diabetes,119.0 (14.67%),0.0%,100.0 (18.12%),0.0%,19.0 (7.34%),0.0%,3.592530707760858e-06
Patient Count,811,,552,,259,,
Filter,All,,Inpatient,,Other,,
