index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Filter,All,,Cremona,,Spain,,
Patient Count,2831,,1441,,1390,,
Age,68.0 (57.0-79.0),0.0%,70.0 (58.0-80.0),0.0%,67.0 (56.0-79.0),0.0%,0.08492852008441137
Gender (M/F),1095.0 (38.68%),0.0%,558.0 (38.72%),0.0%,537.0 (38.63%),0.0%,0.9608058629802261
Heart Rate (bpm),89.0 (79.0-101.0),8.37%,88.86 (79.0-100.0),8.88%,90.0 (80.0-102.0),7.84%,0.03854755748763071
Oxygen Saturation (\%),94.0 (90.0-96.0),17.91%,93.5 (88.4-95.9),29.63%,94.0 (91.0-96.0),5.76%,0.00176842113624906
Temperature (F),98.42 (97.52-99.72),6.18%,99.05 (97.88-100.22),3.26%,97.88 (97.16-98.96),9.21%,8.209386339010743e-59
ALT (U/L),27.0 (17.0-44.0),10.63%,26.0 (17.0-43.0),3.33%,28.0 (17.1-45.8),18.2%,0.12584580993922945
AST (U/L),36.0 (25.0-55.0),12.82%,37.0 (26.0-57.0),8.54%,34.5 (25.0-52.98),17.27%,0.6811198147328923
Creatinine (mg/dL),0.95 (0.77-1.22),4.2%,1.0 (0.81-1.36),2.91%,0.91 (0.74-1.11),5.54%,1.5512802799012373e-10
Blood Glucose (mg/dL),118.0 (105.0-141.1),6.71%,120.0 (106.0-146.0),3.96%,116.0 (104.0-137.8),9.57%,1.980728117292175e-06
BUN (mg/dL),17.0 (12.62-25.23),8.02%,19.0 (14.0-29.0),6.38%,15.42 (11.72-22.2),9.71%,2.4766338560772064e-16
CRP (mg/L),74.15 (29.1-149.65),4.2%,77.02 (28.7-159.1),3.19%,72.56 (29.84-141.13),5.25%,0.31062950696095043
Hemoglobin (g/dL),13.9 (12.7-15.0),11.3%,13.5 (12.4-14.7),21.44%,14.2 (13.1-15.2),0.79%,1.8491497902154988e-15
MCV (fL),87.8 (84.9-91.0),11.3%,87.2 (84.38-90.5),21.44%,88.2 (85.5-91.4),0.79%,7.626511485302813e-09
Platelets (1000/muL),201.0 (156.0-263.0),11.3%,199.0 (154.0-265.25),21.44%,204.0 (158.0-260.5),0.79%,0.5133650743407016
Potassium,4.06 (3.7-4.4),7.74%,3.9 (3.6-4.3),9.23%,4.21 (3.89-4.56),6.19%,1.5626414236372987e-45
Sodium (mmol/L),137.15 (135.0-140.0),4.34%,138.0 (136.0-140.0),2.64%,136.6 (134.4-139.0),6.12%,2.5064648186502778e-17
INR,1.11 (1.02-1.25),25.22%,1.04 (0.99-1.14),21.93%,1.2 (1.11-1.31),28.63%,5.531673552856087e-06
WBC (1000/muL),6.76 (5.16-9.18),11.69%,6.94 (5.28-9.51),22.21%,6.67 (5.1-8.96),0.79%,0.18439240253042927
"Cardiac
dysrhythmias",200.0 (7.06%),0.0%,60.0 (4.16%),0.0%,140.0 (10.07%),0.0%,1.029781424944812e-09
"Chronic
 kidney disease",65.0 (2.3%),0.0%,16.0 (1.11%),0.0%,49.0 (3.53%),0.0%,2.1161163664443424e-05
"Coronary atherosclerosis
 and other heart disease",125.0 (4.42%),0.0%,48.0 (3.33%),0.0%,77.0 (5.54%),0.0%,0.0044001759732050505
Diabetes,345.0 (12.19%),0.0%,138.0 (9.58%),0.0%,207.0 (14.89%),0.0%,1.6158381788022695e-05
