index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Age,68.0 (56.0-78.0),0.03%,68.0 (57.0-79.0),0.0%,59.0 (47.0-72.0),0.31%,1.2552849360560233e-17
Oxygen Saturation (\%),94.0 (90.0-96.0),17.79%,94.0 (90.0-96.0),17.91%,95.0 (92.0-97.0),16.72%,1.9136586223612578e-19
Heart Rate (bpm),89.0 (79.0-100.0),8.02%,89.0 (79.0-101.0),8.37%,88.0 (80.0-98.0),4.95%,0.007163922490669121
Alanine Aminotransferase (U/L),27.0 (17.0-43.15),9.73%,27.0 (17.0-44.0),10.63%,27.0 (18.0-40.0),1.86%,0.2710313797885204
Blood Creatinine (mg/dL),0.94 (0.77-1.2),3.93%,0.95 (0.77-1.22),4.2%,0.9 (0.7-1.1),1.55%,0.0033113497684590363
Sodium (mmol/L),137.2 (135.0-140.0),4.06%,137.15 (135.0-140.0),4.34%,138.0 (135.0-140.0),1.55%,0.2847422560251021
Blood Urea Nitrogen (mg/dL),17.36 (12.72-27.0),7.36%,17.0 (12.62-25.23),8.02%,24.0 (14.56-33.8),1.55%,5.067956755894561e-06
Temperature (F),98.6 (97.7-100.04),6.12%,98.42 (97.52-99.72),6.18%,100.4 (98.96-101.3),5.57%,1.6259944761974023e-37
C-Reactive Protein (mg/L),63.29 (19.64-142.05),3.93%,74.15 (29.1-149.65),4.2%,5.32 (1.3-13.03),1.55%,7.092470986719596e-220
Hemoglobin (g/dL),13.9 (12.6-14.9),10.46%,13.9 (12.7-15.0),11.3%,13.3 (12.2-14.5),3.1%,5.111150307760656e-08
White Blood Cells (1000/muL),6.65 (5.05-9.07),10.65%,6.76 (5.16-9.18),11.69%,5.71 (4.38-7.43),1.55%,0.0007901879490595022
Mean Corpuscular Volume (fL),87.7 (84.82-90.9),10.4%,87.8 (84.9-91.0),11.3%,86.9 (83.9-89.9),2.48%,0.00016234472287384054
Aspartate Aminotransferase (U/L),35.0 (25.0-53.0),11.57%,36.0 (25.0-55.0),12.82%,29.0 (22.0-41.0),0.62%,2.9668466090541187e-05
Platelets (1000/muL),201.0 (156.0-260.0),10.24%,201.0 (156.0-263.0),11.3%,193.0 (156.0-245.0),0.93%,0.11381730744076983
Blood Glucose (mg/dL),117.0 (104.0-140.0),6.21%,118.0 (105.0-141.1),6.71%,106.0 (95.0-124.0),1.86%,4.6744324442262907e-07
Potassium,4.08 (3.73-4.4),7.07%,4.06 (3.7-4.4),7.74%,4.1 (3.9-4.4),1.24%,0.3539299737410341
Prothrombin Time (INR),1.1 (1.01-1.23),23.15%,1.11 (1.02-1.25),25.22%,1.03 (0.96-1.11),4.95%,8.746247676238003e-19
Gender (M/F),1220.0 (38.68%),0.0%,1095.0 (38.68%),0.0%,125.0 (38.7%),0.0%,0.9942160757716564
Cardiac dysrhythmias,245.0 (7.77%),0.03%,200.0 (7.06%),0.0%,45.0 (13.98%),0.31%,0.0005935663451063243
Chronic kidney disease,81.0 (2.57%),0.03%,65.0 (2.3%),0.0%,16.0 (4.97%),0.31%,0.03248838216263468
Coronary atherosclerosis and other heart disease,185.0 (5.87%),0.03%,125.0 (4.42%),0.0%,60.0 (18.63%),0.31%,4.0246103207305354e-10
Diabetes,387.0 (12.27%),0.03%,345.0 (12.19%),0.0%,42.0 (13.04%),0.31%,0.6650311124164352
Patient Count,3154,,2831,,323,,
Filter,All,,Derivation,,Greece,,
