index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Filter,All,,Non-Survivor,,Survivor,,
Patient Count,2831,,711,,2120,,
Age,68.0 (57.0-79.0),0.1%,81.0 (73.2-86.0),0.1%,63.0 (54.0-74.0),0.0%,1.2756385340435251e-185
Gender (M/F),1095.0 (38.7%),0.0%,227.0 (31.9%),0.0%,868.0 (40.9%),0.0%,1.1806961500214925e-05
Heart Rate (bpm),89.0 (79.0-101.0),8.6%,87.0 (78.0-100.0),6.2%,90.0 (80.0-102.0),9.4%,0.0012882729684493132
Oxygen Saturation (\%),94.0 (90.0-96.0),18.0%,88.5 (80.0-93.6),20.3%,94.4 (92.0-96.0),17.2%,3.1641937884878655e-37
Temperature (F),98.4 (97.5-99.7),6.3%,98.8 (97.7-100.0),6.9%,98.4 (97.5-99.6),6.0%,0.0002423512982349124
ALT (U/L),27.0 (17.0-44.0),10.8%,25.5 (16.0-41.0),8.2%,27.8 (17.5-45.0),11.7%,0.037700156277879475
AST (U/L),36.0 (25.0-55.0),13.0%,45.0 (30.0-69.0),12.5%,34.0 (24.4-51.0),13.1%,1.5451587472252502e-11
Creatinine (mg/dL),1.0 (0.8-1.2),4.3%,1.3 (1.0-1.8),3.7%,0.9 (0.7-1.1),4.5%,2.8388831643373427e-36
Blood Glucose (mg/dL),118.0 (105.0-141.0),6.9%,134.0 (113.0-171.0),6.0%,115.0 (103.4-133.0),7.2%,1.116178316084215e-22
BUN (mg/dL),17.0 (12.6-25.2),8.2%,29.5 (20.3-47.2),8.0%,15.0 (11.5-20.0),8.3%,1.0193908078242766e-65
CRP (mg/L),74.2 (29.1-149.5),4.3%,141.1 (72.0-223.1),4.9%,58.6 (22.7-119.3),4.1%,4.763701479901147e-50
Hemoglobin (g/dL),13.9 (12.7-15.0),11.4%,13.5 (12.0-14.7),21.4%,14.0 (12.9-15.0),8.1%,9.113301300287581e-10
MCV (fL),87.8 (84.9-91.0),11.5%,89.3 (85.8-92.7),21.4%,87.5 (84.7-90.4),8.2%,2.8033416398749664e-08
Platelets (1000/muL),201.0 (156.0-263.0),11.5%,185.0 (141.0-246.8),21.5%,206.0 (160.0-266.5),8.2%,6.619357508464045e-08
Potassium,4.1 (3.7-4.4),7.8%,4.1 (3.7-4.6),9.3%,4.0 (3.7-4.4),7.4%,0.00014277800567716965
Sodium (mmol/L),137.1 (135.0-140.0),4.5%,138.0 (135.0-141.0),3.9%,137.0 (135.0-139.4),4.7%,5.645202070099439e-08
INR,1.1 (1.0-1.2),25.3%,1.1 (1.0-1.3),15.9%,1.1 (1.0-1.2),28.4%,3.199427985057592e-05
WBC (1000/muL),6.8 (5.2-9.2),11.8%,8.0 (5.7-11.4),22.6%,6.5 (5.0-8.7),8.2%,3.002102621959962e-15
"Cardiac
dysrhythmias",200.0 (7.1%),0.0%,73.0 (10.3%),0.0%,127.0 (6.0%),0.0%,0.0006502480967893514
"Chronic
 kidney disease",65.0 (2.3%),0.0%,32.0 (4.5%),0.0%,33.0 (1.6%),0.0%,0.00036732260765332767
"Coronary atherosclerosis
 and other heart disease",125.0 (4.4%),0.0%,45.0 (6.3%),0.0%,80.0 (3.8%),0.0%,0.01099821039049741
Diabetes,345.0 (12.2%),0.0%,111.0 (15.6%),0.0%,234.0 (11.0%),0.0%,0.002728292963853712
