index,Output,Percent Missing,Output_A,Percent Missing_A,Output_B,Percent Missing_B,p-Value
Filter,All,,Infection,,No Infection,,
Patient Count,3135,,1661,,1474,,
Age,63.0 (49.0-78.0),0.1%,66.0 (55.0-78.5),0.1%,58.0 (42.0-78.0),0.1%,8.996558946153318e-28
Gender (M/F),1444.0 (46.1%),0.0%,667.0 (40.2%),0.0%,777.0 (52.7%),0.0%,1.6975666006945581e-12
Respiratory Frequency,18.0 (16.0-19.0),33.2%,18.0 (16.0-20.0),33.9%,18.0 (16.0-18.0),32.4%,9.639678435345784e-21
Heart Rate (bpm),88.5 (78.0-100.5),7.4%,88.0 (78.2-100.0),7.5%,89.0 (78.0-101.2),7.3%,0.6134818556974957
Temperature (F),98.3 (97.5-99.5),3.6%,99.0 (97.9-100.0),3.7%,97.7 (97.2-98.7),3.6%,4.507652761001105e-80
Oxygen Saturation (\%),95.4 (91.8-97.0),31.2%,94.2 (89.6-96.4),24.3%,96.5 (94.8-97.5),38.9%,1.6774205625089373e-31
CRP (mg/L),31.0 (3.4-107.6),5.5%,69.8 (23.2-152.3),3.8%,4.7 (1.1-35.4),7.4%,1.276105624354685e-83
WBC (1000/muL),7.6 (5.8-10.1),29.3%,6.6 (5.1-8.7),30.8%,8.7 (7.0-11.1),27.7%,7.592489160354027e-38
Calcium,9.3 (8.9-9.7),12.7%,9.0 (8.7-9.4),11.0%,9.6 (9.2-9.9),14.6%,1.8954942885970226e-96
Platelets (1000/muL),223.0 (174.0-285.0),28.9%,202.0 (156.0-266.0),30.3%,241.0 (198.0-297.0),27.4%,1.4074558911166049e-18
Creatinine (mg/dL),0.9 (0.8-1.2),5.3%,1.0 (0.8-1.2),3.3%,0.9 (0.7-1.1),7.5%,2.1877184386891546e-05
MCV (fL),87.2 (84.0-90.3),28.8%,86.8 (83.9-90.0),30.3%,87.7 (84.2-90.7),27.1%,0.14300549531902967
INR,1.0 (1.0-1.1),20.0%,1.0 (1.0-1.1),21.0%,1.1 (1.0-1.1),18.9%,0.8959321091153091
Sodium (mmol/L),139.0 (137.0-141.0),5.2%,139.0 (136.0-141.0),3.3%,140.0 (138.0-142.0),7.5%,1.1151328322398554e-14
RDW (\%),13.2 (12.5-14.3),28.8%,13.1 (12.4-14.0),30.2%,13.2 (12.5-14.5),27.2%,1.5862046281025249e-06
AST (U/L),29.0 (21.0-47.0),10.5%,37.0 (26.0-57.0),8.9%,23.0 (19.0-31.0),12.2%,1.203020466375647e-20
BUN (mg/dL),17.0 (13.0-25.0),11.5%,18.0 (13.0-27.0),7.6%,16.0 (12.0-22.0),15.8%,3.783138711958614e-05
ALT (U/L),22.0 (15.0-37.0),6.0%,27.0 (18.0-43.0),3.7%,19.0 (13.0-30.0),8.5%,6.5865714709969165e-09
Total Bilirubin (mg/dL),0.6 (0.5-0.8),20.3%,0.6 (0.5-0.8),16.5%,0.6 (0.4-0.9),24.5%,0.00883147440073434
Hemoglobin (g/dL),13.5 (12.3-14.7),28.8%,13.6 (12.5-14.8),30.2%,13.4 (12.1-14.6),27.3%,5.702108318285529e-05
