Condition,HCUP_ORDER,GROUP_HCUP,DIAGNOSIS_CODE,SHORT_DESCRIPTION
DIABETES,49,Diabetes mellitus without complication,E089,Diabetes due to underlying condition w/o complications
DIABETES,49,Diabetes mellitus without complication,E099,Drug or chemical induced diabetes mellitus w/o complications
DIABETES,49,Diabetes mellitus without complication,E109,Type 1 diabetes mellitus without complications
DIABETES,49,Diabetes mellitus without complication,E119,Type 2 diabetes mellitus without complications
DIABETES,49,Diabetes mellitus without complication,E139,Other specified diabetes mellitus without complications
DIABETES,49,Diabetes mellitus without complication,R7301,Impaired fasting glucose
DIABETES,49,Diabetes mellitus without complication,R7302,Impaired glucose tolerance (oral)
DIABETES,49,Diabetes mellitus without complication,R7303,Prediabetes
DIABETES,49,Diabetes mellitus without complication,R7309,Other abnormal glucose
DIABETES,49,Diabetes mellitus without complication,R739,"Hyperglycemia, unspecified"
DIABETES,49,Diabetes mellitus without complication,R81,Glycosuria
DIABETES,49,Diabetes mellitus without complication,R824,Acetonuria
DIABETES,49,Diabetes mellitus without complication,Z4681,Encounter for fitting and adjustment of insulin pump
DIABETES,49,Diabetes mellitus without complication,Z9641,Presence of insulin pump (external) (internal)
DIABETES,50,Diabetes mellitus with complications,E0800,Diab d/t undrl cond w hyprosm w/o nonket hyprgly-hypros coma
DIABETES,50,Diabetes mellitus with complications,E0801,Diabetes due to underlying condition w hyprosm w coma
DIABETES,50,Diabetes mellitus with complications,E0810,Diabetes due to underlying condition w ketoacidosis w/o coma
DIABETES,50,Diabetes mellitus with complications,E0811,Diabetes due to underlying condition w ketoacidosis w coma
DIABETES,50,Diabetes mellitus with complications,E0821,Diabetes due to underlying condition w diabetic nephropathy
DIABETES,50,Diabetes mellitus with complications,E0822,Diabetes due to undrl cond w diabetic chronic kidney disease
DIABETES,50,Diabetes mellitus with complications,E0829,Diabetes due to undrl condition w oth diabetic kidney comp
DIABETES,50,Diabetes mellitus with complications,E08311,Diab due to undrl cond w unsp diabetic rtnop w macular edema
DIABETES,50,Diabetes mellitus with complications,E08319,Diab due to undrl cond w unsp diab rtnop w/o macular edema
DIABETES,50,Diabetes mellitus with complications,E08321,Diabetes mellitus due to underlying condition with mild nonp
DIABETES,50,Diabetes mellitus with complications,E083211,"Diabetes with mild nonp rtnop with macular edema, right eye"
DIABETES,50,Diabetes mellitus with complications,E083212,"Diabetes with mild nonp rtnop with macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083213,"Diabetes with mild nonp rtnop with macular edema, bilateral"
DIABETES,50,Diabetes mellitus with complications,E083219,"Diabetes with mild nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08329,Diabetes mellitus due to underlying condition with mild nonp
DIABETES,50,Diabetes mellitus with complications,E083291,"Diabetes with mild nonp rtnop without macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083292,"Diab with mild nonp rtnop without macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083293,"Diabetes with mild nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083299,"Diabetes with mild nonp rtnop without macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08331,Diabetes mellitus due to underlying condition with moderate
DIABETES,50,Diabetes mellitus with complications,E083311,"Diabetes with moderate nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083312,"Diab with moderate nonp rtnop with macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083313,"Diabetes with moderate nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083319,"Diabetes with moderate nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08339,Diabetes mellitus due to underlying condition with moderate
DIABETES,50,Diabetes mellitus with complications,E083391,"Diab with moderate nonp rtnop without macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083392,"Diab with moderate nonp rtnop without macular edema, l eye"
DIABETES,50,Diabetes mellitus with complications,E083393,"Diabetes with moderate nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083399,"Diab with moderate nonp rtnop without macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08341,Diabetes mellitus due to underlying condition with severe no
DIABETES,50,Diabetes mellitus with complications,E083411,"Diabetes with severe nonp rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083412,"Diabetes with severe nonp rtnop with macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083413,"Diabetes with severe nonp rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083419,"Diabetes with severe nonp rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08349,Diabetes mellitus due to underlying condition with severe no
DIABETES,50,Diabetes mellitus with complications,E083491,"Diabetes with severe nonp rtnop without macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083492,"Diab with severe nonp rtnop without macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083493,"Diabetes with severe nonp rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083499,"Diabetes with severe nonp rtnop without macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E08351,Diabetes mellitus due to underlying condition with prolifera
DIABETES,50,Diabetes mellitus with complications,E083511,"Diab with prolif diabetic rtnop with macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083512,"Diab with prolif diabetic rtnop with macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083513,"Diabetes with prolif diabetic rtnop with macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083519,"Diabetes with prolif diabetic rtnop with macular edema, unsp"
DIABETES,50,Diabetes mellitus with complications,E083521,"Diab with prolif diab rtnop with trctn dtch macula, r eye"
DIABETES,50,Diabetes mellitus with complications,E083522,"Diab with prolif diab rtnop with trctn dtch macula, left eye"
DIABETES,50,Diabetes mellitus with complications,E083523,"Diab with prolif diabetic rtnop with trctn dtch macula, bi"
DIABETES,50,Diabetes mellitus with complications,E083529,"Diab with prolif diabetic rtnop with trctn dtch macula, unsp"
DIABETES,50,Diabetes mellitus with complications,E083531,"Diab with prolif diab rtnop with trctn dtch n-mcla, r eye"
DIABETES,50,Diabetes mellitus with complications,E083532,"Diab with prolif diab rtnop with trctn dtch n-mcla, left eye"
DIABETES,50,Diabetes mellitus with complications,E083533,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, bi"
DIABETES,50,Diabetes mellitus with complications,E083539,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, unsp"
DIABETES,50,Diabetes mellitus with complications,E083541,"Diabetes with prolif diabetic rtnop with comb detach, r eye"
DIABETES,50,Diabetes mellitus with complications,E083542,"Diab with prolif diabetic rtnop with comb detach, left eye"
DIABETES,50,Diabetes mellitus with complications,E083543,"Diabetes with prolif diabetic rtnop with combined detach, bi"
DIABETES,50,Diabetes mellitus with complications,E083549,"Diabetes with prolif diabetic rtnop with comb detach, unsp"
DIABETES,50,Diabetes mellitus with complications,E083551,"Diabetes with stable prolif diabetic retinopathy, right eye"
DIABETES,50,Diabetes mellitus with complications,E083552,"Diabetes with stable prolif diabetic retinopathy, left eye"
DIABETES,50,Diabetes mellitus with complications,E083553,"Diabetes with stable prolif diabetic retinopathy, bilateral"
DIABETES,50,Diabetes mellitus with complications,E083559,"Diabetes with stable prolif diabetic retinopathy, unsp"
DIABETES,50,Diabetes mellitus with complications,E08359,Diabetes mellitus due to underlying condition with prolifera
DIABETES,50,Diabetes mellitus with complications,E083591,"Diab with prolif diabetic rtnop without macular edema, r eye"
DIABETES,50,Diabetes mellitus with complications,E083592,"Diab with prolif diab rtnop without macular edema, left eye"
DIABETES,50,Diabetes mellitus with complications,E083593,"Diab with prolif diabetic rtnop without macular edema, bi"
DIABETES,50,Diabetes mellitus with complications,E083599,"Diab with prolif diabetic rtnop without macular edema, unsp"
