Feature_Recoded,Type,Percent Missing,Mean,Standard Deviation,Minimum,25th Percentile,50th Percentile,75th Percentile,Maximum,Outcome,Features,Features,Percent Missing
Cardiac dysrhythmias,Categoric,0,0.070646413,0.256277025,0,0,0,0,1,All,0 (0-0),0 (0-0),0
Chronic kidney disease,Categoric,0,0.022960085,0.149801716,0,0,0,0,1,All,0 (0-0),0 (0-0),0
Coronary atherosclerosis and other heart disease,Categoric,0,0.044154011,0.205476359,0,0,0,0,1,All,0 (0-0),0 (0-0),0
Diabetes,Categoric,0,0.121865064,0.327188313,0,0,0,0,1,All,0 (0-0),0 (0-0),0
Gender,Categoric,0,0.386789113,0.487100452,0,0,0,1,1,All,0 (0-0),0 (0-0),0
Outcome,Categoric,0,0.251148004,0.43375009,0,0,0,1,1,All,0 (0-0),0 (0-0),0
Age,Numeric,0.000706464,67.17815399,15.61544514,0,57,68,79,100,All,57 (0-68),57 (0-68),0.000706464
Alanine Aminotransferase (ALT),Numeric,0.108089014,38.0634346,37.11940765,2,17,27,44,491,All,17 (2-27),17 (2-27),0.108089014
Aspartate Aminotransferase,Numeric,0.129636171,47.80170822,41.22426224,9,25,36,55,639,All,25 (9-36),25 (9-36),0.129636171
Blood Urea Nitrogen (BUN),Numeric,0.081949841,23.07379723,19.31404495,4.158878326,12.61682224,17,25.21028137,188,All,12.62 (4.16-17),12.62 (4.16-17),0.081949841
C-Reactive Protein,Numeric,0.043094313,102.7609024,94.80975342,0.230000004,29.09000015,74.15000153,149.4799957,564.4299927,All,29.09 (0.23-74.15),29.09 (0.23-74.15),0.043094313
Creatinine,Numeric,0.043094313,1.149424911,0.830769122,0.189999998,0.769999981,0.949999988,1.220000029,12.46000004,All,0.77 (0.19-0.95),0.77 (0.19-0.95),0.043094313
Glycemia,Numeric,0.069233486,133.5393066,52.39610672,50,105,118,141,556,All,105 (50-118),105 (50-118),0.069233486
Heart Rate,Numeric,0.085835394,90.74995422,16.71807671,41,79,89,101,167,All,79 (41-89),79 (41-89),0.085835394
Hemoglobin,Numeric,0.114447192,13.76526833,1.808943748,6,12.69999981,13.89999962,15,18.89999962,All,12.7 (6-13.9),12.7 (6-13.9),0.114447192
Leukocytes,Numeric,0.117979513,7.719829559,3.877659082,0.109999999,5.150000095,6.760000229,9.180000305,34.54999924,All,5.15 (0.11-6.76),5.15 (0.11-6.76),0.117979513
Mean Corpuscular Volume,Numeric,0.115153656,87.69257355,5.769216061,58.59999847,84.90000153,87.80000305,91,114.5,All,84.9 (58.6-87.8),84.9 (58.6-87.8),0.115153656
Oxygen Saturation,Numeric,0.179795125,90.60102081,10.32823372,19,90,94,96,100,All,90 (19-94),90 (19-94),0.179795125
Platelets,Numeric,0.115153656,219.4099731,91.48363495,19,156,201,263,740,All,156 (19-201),156 (19-201),0.115153656
