DIAGNOSIS_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION,GROUP1,GROUP2,GROUP3,GROUP_HCUP_ID,GROUP_HCUP,HCUP_ORDER
85303,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain hem NEC-mod coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85304,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level",Brain hem NEC-proln coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85305,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain hem NEC-deep coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85306,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain hem NEC-coma NOS,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85309,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Brain hem NEC-concussion,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85310,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, unspecified state of consciousness",Brain hem NEC w opn wnd,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85311,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with no loss of consciousness",Brain hem opn w/o coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85312,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Brain hem opn-brf coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85313,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain hem open-mod coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
85314,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Brain hem opn-proln coma,INJURY AND POISONING,"INTRACRANIAL INJURY, EXCLUDING THOSE WITH SKULL FRACTURE",OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY,233,Intracranial injury,221
