Feature_Recoded,Type,Percent Missing,Mean,Standard Deviation,Minimum,25th Percentile,50th Percentile,75th Percentile,Maximum,Outcome
Gender,Categoric,0.0,0.46060606837272644,0.498527854681015,0.0,0.0,0.0,1.0,1.0,All
Outcome,Categoric,0.0,0.5298245614035088,0.49918932478040023,0.0,0.0,1.0,1.0,1.0,All
Age,Numeric,0.000956937799043045,61.6353759765625,19.9851016998291,0.0,49.0,63.0,78.0,99.0,All
Heart Rate,Numeric,0.0736842105263158,90.57169342041016,17.81053924560547,31.5,78.0,88.5,100.54166412353516,184.0,All
Oxygen Saturation,Numeric,0.04338118022328552,94.99708557128906,5.179913520812988,38.70000076293945,94.0,96.0,98.0,115.0,All
Respiratory Frequency,Numeric,0.3320574162679426,18.344791412353516,3.2630455493927,14.0,16.0,18.0,19.0,40.0,All
Temperature,Numeric,0.036363636363636376,98.5838851928711,1.4764150381088257,95.0,97.5199966430664,98.33000183105469,99.5,104.0,All
Gender,Categoric,0.0,0.4015653133392334,0.4903624951839447,0.0,0.0,0.0,1.0,1.0,Infection
Outcome,Categoric,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Infection
Age,Numeric,0.0012040939193257438,65.35563659667969,16.06741714477539,0.0,55.0,66.0,78.5,98.0,Infection
Heart Rate,Numeric,0.0746538229981939,90.41324615478516,16.878583908081055,31.5,78.16666412353516,88.0,100.0,180.0,Infection
Oxygen Saturation,Numeric,0.03853100541842269,93.45699310302734,5.76867151260376,38.70000076293945,92.0,95.0,97.0,115.0,Infection
Respiratory Frequency,Numeric,0.3389524382901866,18.964685440063477,3.6005427837371826,14.0,16.0,18.0,20.0,40.0,Infection
Temperature,Numeric,0.03672486453943402,99.04534149169922,1.5103436708450317,95.0,97.87999725341797,98.95999908447266,100.04000091552734,104.0,Infection
Gender,Categoric,0.0,0.527137041091919,0.49943268299102783,0.0,0.0,1.0,1.0,1.0,No Infection
Outcome,Categoric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Infection
Age,Numeric,0.0006784260515604323,57.445350646972656,22.926002502441406,0.0,42.0,58.0,78.0,99.0,No Infection
Heart Rate,Numeric,0.0725915875169606,90.7498779296875,18.807971954345703,42.599998474121094,78.0,89.0,101.25,184.0,No Infection
Oxygen Saturation,Numeric,0.048846675712347354,96.75141906738281,3.7046432495117188,50.0,96.0,98.0,99.0,110.0,No Infection
Respiratory Frequency,Numeric,0.32428765264586157,17.661407470703125,2.6856377124786377,14.0,16.0,18.0,18.0,40.0,No Infection
Temperature,Numeric,0.03595658073270014,98.06463623046875,1.2479579448699951,95.0,97.16000366210938,97.69999694824219,98.69000244140625,103.63999938964844,No Infection
