,index,Output,Percent Missing,Output,Percent Missing,Output,Percent Missing
0,Filter,,,,,,
1,Patient Count,1441,,1390,,231,
2,Outcome,472.0 (32.8%),0.0%,239.0 (17.2%),0.0%,49.0 (21.2%),0.0%
3,Age,70.0 (58.0-80.0),1.6%,67.0 (56.0-78.0),1.6%,68.0 (55.5-79.0),1.7%
4,Gender (M/F),558.0 (38.7%),0.0%,537.0 (38.6%),0.0%,112.0 (48.5%),0.0%
5,Heart Rate (bpm),89.0 (79.1-100.0),11.0%,90.0 (80.0-102.0),8.8%,99.0 (88.0-110.0),4.8%
6,Oxygen Saturation (\%),93.9 (90.2-96.0),36.8%,94.0 (92.0-96.0),10.6%,93.0 (89.0-95.0),4.8%
7,Temperature (F),99.0 (97.9-100.2),3.3%,97.9 (97.2-99.0),9.5%,100.0 (98.6-101.4),1.3%
8,ALT (U/L),26.0 (17.0-43.0),4.9%,27.8 (17.2-44.7),19.6%,25.0 (16.0-41.0),15.2%
9,AST (U/L),37.0 (26.0-56.0),10.1%,34.7 (25.0-52.9),18.7%,34.0 (24.0-51.8),17.7%
10,Creatinine (mg/dL),1.0 (0.8-1.3),4.1%,0.9 (0.7-1.1),5.7%,1.0 (0.8-1.4),6.5%
11,Blood Glucose (mg/dL),119.0 (106.0-144.0),6.2%,116.0 (104.0-137.5),10.6%,122.0 (102.0-159.5),5.2%
12,BUN (mg/dL),18.0 (14.0-29.0),7.8%,15.5 (12.0-22.3),11.1%,19.0 (12.0-31.0),6.1%
13,CRP (mg/L),76.3 (28.5-158.6),3.7%,70.9 (29.0-132.5),6.8%,77.3 (30.4-124.0),46.8%
14,Hemoglobin (g/dL),13.5 (12.4-14.7),22.3%,14.2 (13.1-15.2),1.9%,12.6 (11.2-13.9),3.9%
15,MCV (fL),87.3 (84.6-90.5),23.6%,88.2 (85.5-91.4),1.3%,90.0 (86.0-94.0),6.5%
16,Platelets (1000/muL),198.0 (154.0-261.5),22.9%,204.5 (159.0-259.2),2.4%,204.0 (162.5-250.0),6.9%
17,Potassium,3.9 (3.6-4.3),9.6%,4.2 (3.9-4.6),6.5%,4.0 (3.7-4.4),6.5%
18,Sodium (mmol/L),138.0 (136.0-140.0),4.2%,136.6 (134.6-139.0),8.3%,136.0 (134.0-140.0),4.3%
19,INR,1.0 (1.0-1.1),22.3%,1.2 (1.1-1.3),29.6%,1.1 (1.1-1.4),67.5%
20,WBC (1000/muL),6.9 (5.3-9.4),22.8%,6.6 (5.1-8.9),2.9%,6.5 (4.8-8.7),3.5%
21,"Cardiac
dysrhythmias",60.0 (4.2%),0.0%,140.0 (10.1%),0.0%,1.0 (0.4%),0.0%
22,"Chronic
 kidney disease",16.0 (1.1%),0.0%,49.0 (3.5%),0.0%,7.0 (3.0%),0.0%
23,"Coronary atherosclerosis
 and other heart disease",48.0 (3.3%),0.0%,77.0 (5.5%),0.0%,0.0 (0.0%),0.0%
24,Diabetes,138.0 (9.6%),0.0%,207.0 (14.9%),0.0%,39.0 (16.9%),0.0%
Filter,,Cremona,Cremona,Spain,Spain,Hartford Affiliate,Hartford Affiliate
