Model Type,Model Labs,Cohort,N,AUC,Threshold,Accuracy,Specificity,Precision,Negative predictive value,False positive rate,False negative rate,False discovery rate
mortality,with_lab,Training Set,2755,"94.7 (93.87,95.54)","26.75 (25.1,28.4)","85.15 (83.83,86.48)","83.53 (82.15,84.92)","64.37 (62.58,66.16)","96.22 (95.51,96.93)","16.47 (15.08,17.85)","9.94 (8.82,11.06)","35.63 (33.84,37.42)"
mortality,with_lab,Testing Set,307,"90.19 (86.86,93.52)","14.76 (10.79,18.73)","72.96 (68.0,77.93)","67.1 (61.84,72.36)","47.59 (42.0,53.17)","95.68 (93.4,97.95)","32.9 (27.64,38.16)","9.21 (5.98,12.45)","52.41 (46.83,58.0)"
mortality,with_lab,Greek HC,323,"87.45 (83.83,91.06)","13.86 (10.09,17.63)","67.18 (62.06,72.3)","64.6 (59.39,69.82)","21.97 (17.45,26.49)","98.43 (97.07,99.79)","35.4 (30.18,40.61)","9.38 (6.2,12.55)","78.03 (73.51,82.55)"
mortality,with_lab,Sevilla,219,"91.62 (87.95,95.29)","15.43 (10.64,20.21)","65.75 (59.47,72.04)","61.78 (55.34,68.22)","26.26 (20.43,32.09)","98.33 (96.64,100.03)","38.22 (31.78,44.66)","7.14 (3.73,10.55)","73.74 (67.91,79.57)"
mortality,with_lab,Hartford,323,"80.66 (76.36,84.97)","24.04 (19.38,28.7)","57.28 (51.88,62.67)","51.62 (46.17,57.07)","23.86 (19.22,28.51)","97.28 (95.5,99.05)","48.38 (42.93,53.83)","8.7 (5.62,11.77)","76.14 (71.49,80.78)"
mortality,without_lab,Training Set,2781,"86.55 (85.29,87.82)","14.98 (13.65,16.3)","67.42 (65.68,69.16)","59.96 (58.14,61.78)","42.52 (40.69,44.36)","94.86 (94.04,95.68)","40.04 (38.22,41.86)","9.88 (8.77,10.99)","57.48 (55.64,59.31)"
mortality,without_lab,Testing Set,309,"82.33 (78.08,86.59)","13.87 (10.02,17.73)","66.67 (61.41,71.92)","58.8 (53.31,64.29)","41.82 (36.32,47.32)","95.14 (92.74,97.54)","41.2 (35.71,46.69)","9.21 (5.99,12.43)","58.18 (52.68,63.68)"
mortality,without_lab,Greek HC,323,"75.07 (70.35,79.79)","6.18 (3.55,8.81)","50.15 (44.7,55.61)","45.7 (40.27,51.14)","15.51 (11.56,19.46)","97.79 (96.19,99.4)","54.3 (48.86,59.73)","9.38 (6.2,12.55)","84.49 (80.54,88.44)"
mortality,without_lab,Sevilla,219,"84.33 (79.52,89.15)","15.98 (11.13,20.84)","63.93 (57.57,70.29)","59.69 (53.19,66.18)","25.24 (19.49,31.0)","98.28 (96.55,100.0)","40.31 (33.82,46.81)","7.14 (3.73,10.55)","74.76 (69.0,80.51)"
mortality,without_lab,Hartford,323,"70.0 (65.01,75.0)","9.71 (6.48,12.94)","37.77 (32.48,43.06)","28.88 (23.94,33.82)","17.57 (13.42,21.72)","95.24 (92.92,97.56)","71.12 (66.18,76.06)","8.7 (5.62,11.77)","82.43 (78.28,86.58)"
